Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2010-2011,Colac-Otway,Barwon South West ,4463,1842,1842,1909,1909,8214,3751,16740
2010-2011,Corangamite,Barwon South West ,2188,1277.3,1086.45,1697,1697,5162.3,2783.45,13288
2010-2011,Darebin,Metropolitan ,27147,16085,13323,11748,11748,54980,25071,113073
2010-2011,Delatite,North East ,,0,0,0,0,0,0,
2010-2011,East Gippsland,Gippsland ,6637.5898,5048.54,4334.6802,4234.48,4234.48,15920.6098,8569.1602,35269
2010-2011,Frankston,Metropolitan ,23453.6992,16566.4805,13496.5098,12618.0898,12618.0898,52638.2695,26114.5996,100395
2010-2011,Gannawarra,Loddon Mallee ,2206.46,1388.89,1388.89,0,0,3595.35,1388.89,9046
2010-2011,Glen Eira,Metropolitan ,30005,14663,14663,8054.78,8054.78,52722.78,22717.78,105515
2010-2011,Glenelg,Barwon South West ,3014.49,1962.53,1290.58,0,0,4977.02,1290.58,16368
2010-2011,Golden Plains,Grampians Central West ,4600,2014.8,1883,0,0,6614.8,1883,13818
2010-2011,Greater Bendigo,Loddon Mallee ,27576,11056,10091,0,0,38632,10091,80731
2010-2011,Greater Dandenong,Metropolitan ,29086,12590,11960,18067,16779,59743,28739,105634
2010-2011,Greater Geelong,Barwon South West ,40429,28340.4004,26356.5996,30000,30000,98769.4004,56356.5996,170876
2010-2011,Greater Shepparton,Goulburn Valley ,12929,7890.25,7890.25,6187,6114,27006.25,14004.25,47294
2010-2011,Hepburn,Grampians Central West ,2140,1300,1300,0,0,3440,1300,11903
2010-2011,Hindmarsh,Grampians Central West ,1148,656.733,584.385,0,0,1804.733,584.385,4641
2010-2011,Hobsons Bay,Metropolitan ,20461.0801,9739.3701,9437.75,7775,7407,37975.4502,16844.75,68805
